,result,model
0,0.7952380952380953,logisticregression
1,0.7764880952380953,svm
2,0.7886904761904762,decision tree
3,0.8318452380952381,KNN
4,0.7764880952380953,random forest
5,0.6958333333333333,perceptron
6,0.7642857142857142,MLPClassifier
