,title,brand,colour,connectivityTechnology,specialFeature,movementDetectionTechnology,numberOfItems,price,weight,country
0,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black       ",Logitech,Black,,,,1,595.,68 Grams ,China 
1,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)       ",HP,Black/Grey,USB,Wired,Optical,,349.,90 g ,China 
2,Razer Viper Mini Ultralight Gaming Mouse- Classic Black | Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lighting - 6 Programmable Buttons - Drag-Free Cord - RZ01-03250100-R3M1       ,Razer,Black,,Lightweight,Optical,,"1,685.",60.9 g ,China 
3,"Quantum USB Wired Mouse, 1200 DPI Optical Sensor, Plug & Play Ergonomic Mouse for Comfortable All-Day Grip with 3-Button Design and clickable Scroll Wheel, USB 2.0 Mice for PC/ Laptop, QHM251H (Black)       ",Quantum,Black,,Soundless,Optical,,149.,200 g ,India 
4,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons       ,ZEBRONICS,black,,Wireless,Optical,,139.,900 g ,China 
5,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black       ",Logitech,Black,,,,1,595.,68 Grams ,China 
6,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)       ",HP,Black/Grey,USB,Wired,Optical,,349.,90 g ,China 
7,"HP X200 Wireless Mouse with 2.4 GHz Wireless connectivity, Adjustable DPI up to 1600, ambidextrous Design, and 18-Month Long Battery Life. 3-Years Warranty (6VY95AA)       ",HP,Black,,"Wireless, Optical",Optical,,699.,60 g ,China 
8,"HP Wired Mouse 100 with 1600 DPI Optical Sensor, USB Plug-and -Play,ambidextrous Design, Built-in Scrolling and 3 Handy Buttons. 3-Years Warranty (6VY96AA)       ",HP,Black,wired,"Wired, Optical",Optical,,349.,90 g ,China 
9,"HP 150 Wireless USB Mouse with Ergonomic and ambidextrous Design, 1600 DPI Optical Tracking, 2.4 GHz Wireless connectivity, Dual-Function Scroll Wheel and 12 Month Long Battery Life. 3-Years Warranty.       ",HP,Black,USB,"Wireless, Ergonomic Design",Optical,,449.,50 g ,China 
10,"HP M270 Backlit USB Wired Gaming Mouse with 6 Buttons, 4-Speed Customizable 2400 DPI, Ergonomic Design, Breathing LED Lighting, Metal Scroll Wheel, Lightweighted / 3 Years Warranty (7ZZ87AA), Black       ",HP,Black,,"Wireless, Lightweight, Ergonomic Design",Optical,,599.,129 g ,China 
11,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.       ",Redgear,,Wired,Lightweight,Optical,,349.,200 g ,China 
12,"Zebronics Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Light Blue+Grey)       ",ZEBRONICS,Light Blue + Grey,,"Wireless, Lightweight",Optical,,399.,120 g ,China 
13,"Zebronics Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)       ",ZEBRONICS,Black + Grey,,Wireless,Optical,,399.,50 g ,China 
14,"HP Wired Mouse 100 with 1600 DPI Optical Sensor, USB Plug-and -Play,ambidextrous Design, Built-in Scrolling and 3 Handy Buttons. 3-Years Warranty (6VY96AA)       ",HP,Black,wired,"Wired, Optical",Optical,,349.,90 g ,China 
15,"HP 280 USB Wireless Mouse, 2.4GHz Connection , 19U64AA Black       ",HP,Black,USB,"Wireless, Portable, Ergonomic Design",Laser,,"1,335.",70 g ,China 
16,HP Bluetooth Mouse 250/4.2 Bluetooth connectivity/ Adjustable DPI Upto 3600/15-month Long Battery Life and Safe encryption Technology/1 Year Warranty/ Black       ,HP,Black,,"Wireless, Bluetooth, Ergonomic, Optical",Optical,,759.,70 g ,
17,"HP 150 Wireless USB Mouse with Ergonomic and ambidextrous Design, 1600 DPI Optical Tracking, 2.4 GHz Wireless connectivity, Dual-Function Scroll Wheel and 12 Month Long Battery Life. 3-Years Warranty.       ",HP,Black,USB,"Wireless, Ergonomic Design",Optical,,449.,50 g ,China 
18,"Redgear A-15 Wired Gaming Mouse with RGB, Semi-Honeycomb Design and Upto 6400 dpi for Windows PC Gamers(White)       ",Redgear,White,,,Optical,,599.,125 g ,China 
19,"Portronics Toad 21 Wired Optical Mouse for Laptop/PC with Adjustable DPI, 1.5 M Length(Black)       ",Portronics,Black,,Adjustable DPI,Optical,,249.,90 g ,China 
