,title,brand,colour,connectivityTechnology,specialFeature,movementDetectionTechnology,numberOfItems,price,weight,country
0,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black       ",Logitech,Black,,,,1,595.,68 Grams ,China 
1,BenQ Zowie CAMADE II for e-Sports Mice Cable Management Device Black/Red       ,BenQ,black / red,,Wireless,,,"2,666.",380 g ,China 
2,"Quantum USB Wired Mouse, 1200 DPI Optical Sensor, Plug & Play Ergonomic Mouse for Comfortable All-Day Grip with 3-Button Design and clickable Scroll Wheel, USB 2.0 Mice for PC/ Laptop, QHM251H (Black)       ",Quantum,Black,,Soundless,Optical,,149.,200 g ,India 
3,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons       ,ZEBRONICS,black,,Wireless,Optical,,139.,900 g ,China 
4,"Zebronics Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Light Blue+Grey)       ",ZEBRONICS,Light Blue + Grey,,"Wireless, Lightweight",Optical,,399.,120 g ,China 
5,"HP M270 Backlit USB Wired Gaming Mouse with 6 Buttons, 4-Speed Customizable 2400 DPI, Ergonomic Design, Breathing LED Lighting, Metal Scroll Wheel, Lightweighted / 3 Years Warranty (7ZZ87AA), Black       ",HP,Black,,"Wireless, Lightweight, Ergonomic Design",Optical,,599.,129 g ,China 
6,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.       ",Redgear,,Wired,Lightweight,Optical,,349.,200 g ,China 
7,"HP Wired Mouse 100 with 1600 DPI Optical Sensor, USB Plug-and -Play,ambidextrous Design, Built-in Scrolling and 3 Handy Buttons. 3-Years Warranty (6VY96AA)       ",HP,Black,wired,"Wired, Optical",Optical,,349.,90 g ,China 
8,"Zebronics Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)       ",ZEBRONICS,Black + Grey,,Wireless,Optical,,399.,50 g ,China 
9,"Redgear A-15 Wired Gaming Mouse with RGB, Semi-Honeycomb Design and Upto 6400 dpi for Windows PC Gamers(White)       ",Redgear,White,,,Optical,,599.,125 g ,China 
10,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop       ",Amazon Basics,Black,USB,"Wireless, Lightweight, Ergonomic Design",Optical,,499.,115 g ,India 
11,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop       ",Logitech,Grey,,wireless,Optical,,799.,83.9 g ,China 
12,"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black       ",Logitech G,Black,,Basic,Optical,,"1,995.",144 g ,China 
13,Zebronics Zeb-Comfort+ Wired Mouse       ,ZEBRONICS,Black,,"Wired, Optical",Optical,,139.,53 g ,China 
14,"Portronics Toad 22 2.4Ghz Wireless Optical Mouse for Laptops/PC with USB Nano Dongle, Optical Orientation, Adjustable DPI, Click Wheel(Black)       ",Portronics,Black,USB,Adjustable DPI,Optical,,279.,80 g ,China 
15,"Lenovo Legion M200 RGB Gaming Wired USB Mouse, Ambidextrous, 5-Buttons, Upto 2400 DPI with 4 Levels DPI Switch, 7-Colour RGB Backlight (GX30P93886)       ",Lenovo,Black,,,Optical,,999.,150 g ,China 
16,"Portronics Toad One Wireless 2.4GHz & Bluetooth Connectivity Optical Mouse with 7 Colors RGB Lights, Upto 9 Days Battery Life(Black)       ",Portronics,Black,"Bluetooth, USB","Wireless, Rechargeable",Optical,,679.,60 g ,China 
17,Ant Esports GM50 USB Optical Gaming Mouse       ,Ant Esports,"Multicolor,Gold",,Ergonomic Design,Optical,,299.,74 g ,
18,Portronics POR-016 Toad 11 Wireless Mouse with 2.4GHz Technology (Grey)       ,,,,,,,,,
19,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Blue       ",Logitech,Blue,,Wireless,Optical,,"1,195.",91 g ,China 
20,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.       ",Dell,Black,,Wireless,Optical,,249.,120 g ,China 
