,brand,movementDetectionTechnology,wireless,usb,bluetooth,ergonomic,portable,soundless,led_ligths,rechargeable,lightweight,programmable_button,weight,price,priceCategory
107,hp,laser,True,True,False,True,True,False,False,False,False,False,70.0,1335.0,high
108,hp,optical,True,False,False,True,False,False,False,False,False,False,70.0,759.0,high
109,lenovo,optical,True,True,False,True,False,False,False,False,False,False,84.0,620.0,high
110,logitech,optical,False,True,False,False,False,False,False,False,False,False,82.0,355.0,low
111,hp,optical,False,True,False,False,False,False,False,False,False,False,90.0,250.0,low
112,logitech,optical,True,False,False,False,True,True,False,False,False,False,100.0,1594.0,high
113,amazon basics,optical,True,True,False,False,False,False,False,False,False,False,68.0,449.0,low
114,elevn,optical,True,False,False,True,False,False,False,False,False,False,130.0,499.0,low
115,logitech,optical,True,False,False,False,True,True,False,False,False,False,100.0,1422.0,high
116,portronics,optical,True,True,False,True,False,False,False,False,False,False,66.0,355.0,low
117,hp,optical,False,True,False,False,False,False,False,False,False,False,100.0,289.0,low
118,lenovo,optical,True,True,False,True,True,False,False,False,True,False,65.0,879.0,high
119,portronics,optical,True,True,False,True,False,True,False,False,False,False,54.0,329.0,low
120,hp,optical,True,True,False,False,False,False,False,False,False,False,110.0,649.0,high
121,technotech,optical,False,True,False,False,False,False,False,False,False,False,27.0,141.0,low
122,iclever,optical,True,True,False,True,False,False,False,False,False,False,140.0,1750.0,high
123,dell,laser,False,False,False,False,False,False,False,False,False,False,140.0,895.0,high
124,generic,optical,False,True,False,False,True,False,False,False,False,False,300.0,115.0,low
125,verilux,optical,True,True,False,True,True,True,True,True,False,False,83.8,665.0,high
126,hp,optical,True,False,False,True,False,False,False,False,False,False,70.0,594.0,low
127,perixx,trackball,False,False,False,True,False,False,False,False,False,False,145.0,1499.0,high
128,razer,optical,True,False,False,False,False,False,False,False,False,True,83.0,3799.0,high
129,logitech,optical,True,True,False,False,False,False,False,False,False,False,91.0,1395.0,high
130,cosmic byte,optical,True,False,False,True,False,False,True,True,True,False,89.0,2999.0,high
131,logitech,optical,True,True,False,False,False,False,False,False,False,False,100.0,1195.0,high
132,lenovo,optical,False,True,False,True,False,False,False,False,True,False,90.7,839.0,high
133,zebronics,optical,True,True,False,False,False,False,False,False,False,False,1500.0,200.0,low
134,hp,optical,True,True,False,False,False,False,False,False,False,False,150.0,1229.0,high
135,asus,optical,True,False,False,True,False,False,False,False,False,False,73.0,409.0,low
136,portronics,optical,False,True,False,False,False,False,False,False,False,False,20.0,229.0,low
137,archer tech lab,optical,False,False,False,True,False,False,False,False,False,False,86.0,999.0,high
138,lenovo,optical,True,True,False,True,True,False,False,False,True,False,65.0,974.0,high
139,arctic fox,optical,False,True,False,True,False,False,True,False,False,False,110.0,245.0,low
140,ikis,optical,False,True,False,False,False,False,False,False,False,False,400.0,125.0,low
141,hp,optical,False,True,False,False,False,False,False,False,False,False,100.0,590.0,low
142,quantam,optical,False,True,False,True,False,False,False,False,False,False,300.0,210.0,low
143,iball,optical,False,True,False,True,False,False,False,False,False,False,91.0,291.0,low
144,verilux,optical,True,True,False,True,False,False,False,False,False,False,150.0,1004.0,high
145,amazon basics,optical,False,True,False,True,False,False,False,False,False,False,90.0,299.0,low
146,logitech,optical,False,True,False,False,False,False,False,False,False,False,113.0,174.0,low
147,logitech,optical,True,False,False,True,False,False,False,False,False,False,101.0,2795.0,high
148,quantum,radio frequency,True,True,False,False,False,True,False,False,False,False,100.0,399.0,low
149,zysk,optical,False,True,False,False,False,True,False,False,False,False,40.0,239.0,low
150,lenovo,laser,True,False,False,False,False,False,False,False,False,False,160.0,633.0,high
151,portronics,optical,True,True,False,True,False,False,False,False,False,False,50.0,339.0,low
152,hp,optical,False,True,False,False,False,False,False,False,False,False,113.0,449.0,low
153,quantum,optical,False,True,False,True,False,False,False,False,False,False,73.0,190.0,low
154,portronics,optical,True,True,False,True,False,True,False,False,False,False,54.0,329.0,low
155,dell,optical,False,True,False,False,False,False,False,False,False,False,130.0,389.0,low
156,verilux,optical,True,True,False,True,False,True,False,True,False,False,141.0,1101.0,high
157,ant esports,optical,False,True,False,True,False,False,True,False,False,True,100.0,362.0,low
158,zebronics,optical,False,True,False,True,False,False,False,False,False,False,57.0,150.0,low
159,generic,optical,False,True,False,False,False,False,False,False,False,False,50.0,120.0,low
160,live tech,optical,False,False,False,True,False,False,True,False,False,False,150.0,564.0,low
